run -all
# IR=00000000 
# PC=xxxx 
# R1=00000000 
# R2=00000000 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=00000000 
# PC=0000 
# R1=00000000 
# R2=00000000 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=00000000 
# PC=0000 
# R1=00000000 
# R2=00000000 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=00000000 
# PC=0001 
# R1=00000000 
# R2=00000000 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=00000000 
# PC=0001 
# R1=00000000 
# R2=00000000 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=88100001 
# PC=0002 
# R1=00000000 
# R2=00000000 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=88100001 
# PC=0002 
# R1=00000000 
# R2=00000000 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=1 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=88100001 
# PC=0002 
# R1=00000000 
# R2=00000000 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=3 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=88100001 
# PC=0002 
# R1=00000000 
# R2=00000000 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=88100001 
# PC=0002 
# R1=00000001 
# R2=00000000 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=80211001 
# PC=0003 
# R1=00000001 
# R2=00000000 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80211001 
# PC=0003 
# R1=00000001 
# R2=00000000 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=0 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80211001 
# PC=0003 
# R1=00000001 
# R2=00000000 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80211001 
# PC=0003 
# R1=00000001 
# R2=00000002 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=8032200b 
# PC=0004 
# R1=00000001 
# R2=00000002 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=8032200b 
# PC=0004 
# R1=00000001 
# R2=00000002 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=0 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=8032200b 
# PC=0004 
# R1=00000001 
# R2=00000002 
# R3=00000000 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=8032200b 
# PC=0004 
# R1=00000001 
# R2=00000002 
# R3=00000008 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=80412002 
# PC=0005 
# R1=00000001 
# R2=00000002 
# R3=00000008 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80412002 
# PC=0005 
# R1=00000001 
# R2=00000002 
# R3=00000008 
# R4=00000000 
# R5=00000000 
# ALU_OP=0 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80412002 
# PC=0005 
# R1=00000001 
# R2=00000002 
# R3=00000008 
# R4=00000000 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80412002 
# PC=0005 
# R1=00000001 
# R2=00000002 
# R3=00000008 
# R4=ffffffff 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=8044300a 
# PC=0006 
# R1=00000001 
# R2=00000002 
# R3=00000008 
# R4=ffffffff 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=8044300a 
# PC=0006 
# R1=00000001 
# R2=00000002 
# R3=00000008 
# R4=ffffffff 
# R5=00000000 
# ALU_OP=0 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=8044300a 
# PC=0006 
# R1=00000001 
# R2=00000002 
# R3=00000008 
# R4=ffffffff 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=8044300a 
# PC=0006 
# R1=00000001 
# R2=00000002 
# R3=00000008 
# R4=00ffffff 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=80234007 
# PC=0007 
# R1=00000001 
# R2=00000002 
# R3=00000008 
# R4=00ffffff 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80234007 
# PC=0007 
# R1=00000001 
# R2=00000002 
# R3=00000008 
# R4=00ffffff 
# R5=00000000 
# ALU_OP=0 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80234007 
# PC=0007 
# R1=00000001 
# R2=00000002 
# R3=00000008 
# R4=00ffffff 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80234007 
# PC=0007 
# R1=00000001 
# R2=00fffff7 
# R3=00000008 
# R4=00ffffff 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=80220004 
# PC=0008 
# R1=00000001 
# R2=00fffff7 
# R3=00000008 
# R4=00ffffff 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80220004 
# PC=0008 
# R1=00000001 
# R2=00fffff7 
# R3=00000008 
# R4=00ffffff 
# R5=00000000 
# ALU_OP=0 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80220004 
# PC=0008 
# R1=00000001 
# R2=00fffff7 
# R3=00000008 
# R4=00ffffff 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80220004 
# PC=0008 
# R1=00000001 
# R2=ff000008 
# R3=00000008 
# R4=00ffffff 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=80421009 
# PC=0009 
# R1=00000001 
# R2=ff000008 
# R3=00000008 
# R4=00ffffff 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80421009 
# PC=0009 
# R1=00000001 
# R2=ff000008 
# R3=00000008 
# R4=00ffffff 
# R5=00000000 
# ALU_OP=0 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80421009 
# PC=0009 
# R1=00000001 
# R2=ff000008 
# R3=00000008 
# R4=00ffffff 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80421009 
# PC=0009 
# R1=00000001 
# R2=ff000008 
# R3=00000008 
# R4=fe000011 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=80524005 
# PC=000a 
# R1=00000001 
# R2=ff000008 
# R3=00000008 
# R4=fe000011 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80524005 
# PC=000a 
# R1=00000001 
# R2=ff000008 
# R3=00000008 
# R4=fe000011 
# R5=00000000 
# ALU_OP=0 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80524005 
# PC=000a 
# R1=00000001 
# R2=ff000008 
# R3=00000008 
# R4=fe000011 
# R5=00000000 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80524005 
# PC=000a 
# R1=00000001 
# R2=ff000008 
# R3=00000008 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=80324006 
# PC=000b 
# R1=00000001 
# R2=ff000008 
# R3=00000008 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80324006 
# PC=000b 
# R1=00000001 
# R2=ff000008 
# R3=00000008 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=0 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80324006 
# PC=000b 
# R1=00000001 
# R2=ff000008 
# R3=00000008 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80324006 
# PC=000b 
# R1=00000001 
# R2=ff000008 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=00000000 
# PC=000c 
# R1=00000001 
# R2=ff000008 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=00000000 
# PC=000c 
# R1=00000001 
# R2=ff000008 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=88100001 
# PC=000d 
# R1=00000001 
# R2=ff000008 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=88100001 
# PC=000d 
# R1=00000001 
# R2=ff000008 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=1 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=88100001 
# PC=000d 
# R1=00000001 
# R2=ff000008 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=3 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=88100001 
# PC=000d 
# R1=00000001 
# R2=ff000008 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=88100001 
# PC=000d 
# R1=00000001 
# R2=ff000008 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=80211002 
# PC=000e 
# R1=00000001 
# R2=ff000008 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80211002 
# PC=000e 
# R1=00000001 
# R2=ff000008 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=0 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80211002 
# PC=000e 
# R1=00000001 
# R2=ff000008 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80211002 
# PC=000e 
# R1=00000001 
# R2=00000000 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=80201002 
# PC=000f 
# R1=00000001 
# R2=00000000 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80201002 
# PC=000f 
# R1=00000001 
# R2=00000000 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=0 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80201002 
# PC=000f 
# R1=00000001 
# R2=00000000 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80201002 
# PC=000f 
# R1=00000001 
# R2=ffffffff 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=80311008 
# PC=0010 
# R1=00000001 
# R2=ffffffff 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80311008 
# PC=0010 
# R1=00000001 
# R2=ffffffff 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=0 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80311008 
# PC=0010 
# R1=00000001 
# R2=ffffffff 
# R3=fe000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80311008 
# PC=0010 
# R1=00000001 
# R2=ffffffff 
# R3=80000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=80423001 
# PC=0011 
# R1=00000001 
# R2=ffffffff 
# R3=80000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80423001 
# PC=0011 
# R1=00000001 
# R2=ffffffff 
# R3=80000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=0 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80423001 
# PC=0011 
# R1=00000001 
# R2=ffffffff 
# R3=80000000 
# R4=fe000011 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80423001 
# PC=0011 
# R1=00000001 
# R2=ffffffff 
# R3=80000000 
# R4=7fffffff 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=00000000 
# PC=0012 
# R1=00000001 
# R2=ffffffff 
# R3=80000000 
# R4=7fffffff 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=00000000 
# PC=0012 
# R1=00000001 
# R2=ffffffff 
# R3=80000000 
# R4=7fffffff 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=1 
# PC_SEL=0 
# 
# IR=80400001 
# PC=0013 
# R1=00000001 
# R2=ffffffff 
# R3=80000000 
# R4=7fffffff 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80400001 
# PC=0013 
# R1=00000001 
# R2=ffffffff 
# R3=80000000 
# R4=7fffffff 
# R5=ff000019 
# ALU_OP=0 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80400001 
# PC=0013 
# R1=00000001 
# R2=ffffffff 
# R3=80000000 
# R4=7fffffff 
# R5=ff000019 
# ALU_OP=2 
# BR_SEL=0 
# PC_WRITE=0 
# PC_SEL=0 
# 
# IR=80400001 
# PC=0013 
